privateID,repositoryName,usageType,exemptionText,timestamp
"NoPlatformRepoID-gitlab-Center for Surveillance, Epidemiology, and Laboratory Services-csels-hub",csels-hub,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T11:49:37.325932+00:00
gitlab_69325396,csels-hub,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T20:47:49.082192+00:00
github_710830871,NCHS-Synthetic-Linked-Data,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:16.667467+00:00
github_692463219,cfa-parameter-estimates,exemptByMissionSystem,"AI Suggestion: The repository calculates and stores delay distribution parameters for various diseases, which are crucial for epidemiological modeling and public health forecasting as evidenced by its use in multiple CDC projects focused on disease outbreak analysis.",2025-05-16T21:15:16.677428+00:00
github_878470862,oamd-tb-minimal-surveillance,exemptByMissionSystem,"AI Suggestion: The repository name and description suggest a workflow for tuberculosis surveillance, a core public health function.  The ""referenceMapConsensus"" process implies analysis of epidemiological data, directly supporting a public health mission.",2025-05-16T21:15:16.704929+00:00
github_975545277,lppsb-cbls-services,exemptByMissionSystem,"AI Suggestion: The repository name and description (""Lead Poison Prevention CBLS Services"") strongly suggest it contains services directly supporting a public health mission, specifically lead poisoning prevention.  This likely involves data analysis and/or support systems critical to this mission.",2025-05-16T21:15:16.745523+00:00
github_465807786,covid_community_levels,exemptByMissionSystem,"AI Suggestion: The repository processes data for COVID-19 community levels, a task directly related to public health monitoring and analysis, thus critical to the public health mission.",2025-05-16T21:15:16.769669+00:00
github_739187354,cfa-forecast-viz,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:16.788246+00:00
github_269672664,case_privacy,exemptByCIO,"AI Suggestion: The repository reviews case data sets for privacy impact, suggesting handling of sensitive information requiring a higher level of review.  The lack of data storage in the repository itself does not negate the need for careful consideration of the data accessed and analyzed.",2025-05-16T21:15:16.813523+00:00
github_705668260,NSC-Shiny-Dashboard,exemptByMissionSystem,"AI Suggestion: The repository's description indicates it's a dashboard for global COVID-19 situational awareness, a function directly supporting public health monitoring and response.  This suggests its logic is critical to the public health mission.",2025-05-16T21:15:16.837490+00:00
github_705679787,outbreak_ppt_generator,exemptByMissionSystem,"AI Suggestion: The repository name and description indicate the creation of situation reports and slide decks related to outbreaks, suggesting a tool directly supporting public health mission activities like outbreak response and communication.",2025-05-16T21:15:16.856033+00:00
github_635939469,Edav-NHSN-Factory,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:16.878793+00:00
github_810373460,cdh-webapi,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:16.903681+00:00
github_836410718,cdc-otp-event-sf-mq,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:16.927625+00:00
github_626971678,EDAVADFDEMO,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:16.944741+00:00
github_633107200,pynsspdoc,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:16.966353+00:00
github_819890494,cfa-respnet-etl,exemptByMissionSystem,"AI Suggestion: The repository name and description indicate an ETL process for a nowcasting project related to RESP-NET, suggesting involvement in public health surveillance or forecasting, a core public health mission.  This implies the system is critical to the timely analysis of respiratory illness data.",2025-05-16T21:15:16.988124+00:00
github_691659524,nccdphp-od-rapid-backend,exemptByMissionSystem,"AI Suggestion: The repository supports AI-assisted research on a document-based platform, suggesting its use in public health research which is critical to the CDC's mission.  The mention of ""AI-assisted research"" implies potential applications in outbreak analysis or other public health investigations.",2025-05-16T21:15:17.009614+00:00
github_741665472,cfa_azure,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.027114+00:00
github_691702501,nccdphp-od-rapid-model-server,exemptByMissionSystem,"AI Suggestion: The repository supports AI-assisted research on a document-based platform, suggesting its use in public health research and potentially outbreak analysis, aligning with a critical public health mission.  The ""rapid-ui"" mention implies time-sensitive applications.",2025-05-16T21:15:17.047883+00:00
github_940703755,cfa-rstudio-multi-instance,exemptNonCode,"Non-code repository (languages: [Shell, Dockerfile])",2025-05-16T21:15:17.066630+00:00
github_515665044,PHIA_DREAMS,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.085773+00:00
github_608350636,data-exchange-upload,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.104823+00:00
github_971584488,nccdphp-ddt-dprpportal-orgsearch-in-loop-sqlcmd,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:17.124250+00:00
github_796799966,oamd-bio-fungal-mycosnp-nf,exemptByMissionSystem,"AI Suggestion: The repository focuses on fungal genomic surveillance, a key component of public health monitoring and outbreak analysis, directly supporting the public health mission.  The use of bioinformatics tools further suggests its importance in analyzing genomic data for disease surveillance.",2025-05-16T21:15:17.150622+00:00
github_795606015,Clade-I-mpox-US-households,exemptByMissionSystem,"AI Suggestion: The repository contains a transmission model for mpox, a public health concern.  This suggests its purpose is directly related to public health analysis and outbreak modeling.",2025-05-16T21:15:17.177310+00:00
github_978159883,cfa-bt-R0doc,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.194685+00:00
github_913317484,DNPAO-CDCEnt-User-Guide,exemptNonCode,"Non-code repository (languages: [TeX, CSS])",2025-05-16T21:15:17.217760+00:00
github_476019886,davt_ezdx_foodnet,exemptByMissionSystem,"AI Suggestion: The repository description indicates it involves data analytics and visualization for FoodNet, a public health surveillance system.  This suggests a function critical to public health missions, such as outbreak analysis.",2025-05-16T21:15:17.247469+00:00
github_382142424,NCIPC-WISQARS-CGI-Broker,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.271743+00:00
github_732495559,cfa-flu-eval-scratch,exemptNonCode,Non-code repository (languages: [Makefile]),2025-05-16T21:15:17.292288+00:00
github_627057460,delete-repo,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.314819+00:00
github_917760095,cfa-prep-nsfg-data,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.341417+00:00
github_476034467,davt_ndsp_izdl,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.365826+00:00
github_874294179,cdc-inventory-outbound,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.384223+00:00
github_898081390,cdc-edso-foundry-platform-python,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.408478+00:00
github_814820442,oamd-app-workflow-service,exemptByMissionSystem,"AI Suggestion: The repository supports the Advanced Molecular Detection (AMD) Platform, which strongly suggests a role in public health, thus qualifying for this exemption.  The backend code likely contributes to a critical public health mission.",2025-05-16T21:15:17.431496+00:00
github_874274718,cdc-recipient-event-sf-mq,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.448326+00:00
github_832345580,data-exchange-gitops,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.468782+00:00
github_855987816,displacement-model,exemptByMissionSystem,"AI Suggestion: The repository contains a model of disease spread among vulnerable populations, directly relating to public health and potentially informing outbreak analysis and response strategies.  This suggests a critical role in a public health mission.",2025-05-16T21:15:17.506114+00:00
github_800201260,mira-cli-og,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.530885+00:00
github_950673744,ghc_vmmc_msm,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.555772+00:00
github_560056727,SAVI-COVID-GRRF-Metrics,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.577014+00:00
github_572594553,Legionella_DBD-legionellaNotebook,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.595511+00:00
github_826963105,cdc-edso-platform,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:17.615842+00:00
github_555859571,NCHHSTP-IO-MadMax,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.637288+00:00
github_852989920,mpinc-SAS,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.663280+00:00
github_874290097,cdc-ivams-vaccinefinder-clinics-etl,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.681611+00:00
github_971567289,nccdphp-osh-apps-dreammachine,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.700365+00:00
github_694154934,epht-dmu,exemptByMissionSystem,"AI Suggestion: The repository houses documentation and scripts for the National Environmental Public Health Tracking Network's Data Management Unit, directly supporting a public health mission.  This suggests involvement in critical public health data management and analysis.",2025-05-16T21:15:17.721769+00:00
github_829232849,corvd-classifiers,exemptNonCode,"Non-code repository (languages: [Dockerfile, Shell])",2025-05-16T21:15:17.747307+00:00
github_790390409,cdh-ohdsi,exemptByMissionSystem,"AI Suggestion: The repository implements the OHDSI ecosystem for healthcare data analytics within the CDC Data Hub, directly supporting public health data analysis and potentially outbreak investigations.  This aligns with a critical public health mission.",2025-05-16T21:15:17.766700+00:00
github_754272018,edav-nvdrs,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.790511+00:00
github_690282210,NCBDDD-EHDI,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.810191+00:00
github_798923267,cfa_wsl_windows_R_version_update_4.4,exemptNonCode,Non-code repository (languages: [PowerShell]),2025-05-16T21:15:17.833708+00:00
github_935807760,CFA-Common-ADF-Dev-factory,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.854472+00:00
github_971569487,nccdphp-od-nccd-shared-golang-validator-protobuf,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.876347+00:00
github_878699234,oamd-bio-tool-rsv-nextstrain,exemptByMissionSystem,"AI Suggestion: The repository name and description indicate a workflow for RSV (Respiratory Syncytial Virus) analysis using Nextstrain, a platform for tracking pathogen evolution.  This suggests a function directly related to public health surveillance and outbreak analysis.",2025-05-16T21:15:17.896526+00:00
github_808171298,vap-gfe,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:17.916023+00:00
github_522690160,covid19_eams_narrative_shiny_app,exemptByMissionSystem,"AI Suggestion: The repository name and description suggest an application related to COVID-19 analysis, likely supporting public health efforts, thus falling under a mission-critical system exemption.  The ""GDDOC EAMS"" portion hints at a governmental or public health organization's data system.",2025-05-16T21:15:17.940772+00:00
github_630937795,cfa-forecast-mechanistic-julia,exemptByAgencySystem,"AI Suggestion: The repository is described as containing internal SEIR models for the CFA Predict Division, suggesting it's an internal system not intended for public use.",2025-05-16T21:15:17.959458+00:00
github_803925478,data-exchange-pstatus-devops,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:17.983093+00:00
github_877377980,cfa-reusable-workflows,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.003509+00:00
github_517696114,gvsa,exemptByMissionSystem,"AI Suggestion: The repository analyzes vaccination survey data among displaced populations, directly supporting public health goals and potentially informing outbreak response strategies.  This aligns with a critical public health mission.",2025-05-16T21:15:18.022667+00:00
github_932894115,DMAC_SecSrv,exemptNonCode,Non-code repository (languages: [PowerShell]),2025-05-16T21:15:18.048366+00:00
github_874260143,cdc-clinicinfo-event-sf-mq,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.066709+00:00
github_697016647,cfa-pyrenew,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.086696+00:00
github_563474309,mpx_dash,exemptByMissionSystem,"AI Suggestion: The repository name ""mpx_dash"" and description mentioning analysis of data from ""mpx files"" sent by jurisdictions strongly suggest a public health surveillance or outbreak analysis function, critical to a public health mission.",2025-05-16T21:15:18.107259+00:00
github_971592939,nccdphp-osh-apps-gtss-gyts-sas,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.131843+00:00
github_639707779,Edav-Devops-Demo,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.159107+00:00
github_549762618,NCHHSTP-IO-Server-SSL,exemptNonCode,"Non-code repository (languages: [PowerShell, Batchfile])",2025-05-16T21:15:18.184327+00:00
github_796801047,oamd-bio-workflow-nextstrain,exemptByMissionSystem,"AI Suggestion: The repository focuses on Pan-Respiratory Viral Surveillance, a critical public health mission.  The bioinformatics work described directly supports disease monitoring and outbreak analysis.",2025-05-16T21:15:18.220856+00:00
github_585299553,cdh-db-mlops-guides,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.233264+00:00
github_875966346,cdc-vaccine-diverter-papi,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.255045+00:00
github_515752500,phia_dreams_collab,exemptByMissionSystem,"AI Suggestion: The repository facilitates multi-country analysis of PHIA datasets to inform DREAMS programming, directly supporting public health initiatives and potentially involving outbreak analysis or similar mission-critical tasks.",2025-05-16T21:15:18.280271+00:00
github_811049579,mira-nf,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.300819+00:00
github_472362325,hl7-structural-validator,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.320580+00:00
github_642559258,cdh-analytics-premier-gtri-bda,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.344397+00:00
github_827945425,cfa-dsss-data-domain-server,exemptByAgencySystem,"AI Suggestion: The repository is described as an internal data namespace server used across the CDC, suggesting it's part of their internal infrastructure and not publicly accessible.",2025-05-16T21:15:18.368534+00:00
github_862346143,ocio-gitops,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.387918+00:00
github_608862189,cdcent-mirror,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.404804+00:00
github_447724091,xlr-cs-pipeline-adf,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.437408+00:00
github_480491044,phr_hepatitis_surveillance_supplement,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.457456+00:00
github_848970908,NEDSS-automated-workflows,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.478872+00:00
github_979982978,ocio-figma-infra,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.505059+00:00
github_784429724,HaMLET_UI,exemptByMissionSystem,"AI Suggestion: The repository is a user interface for a tuberculosis probability application, directly supporting a public health mission by aiding in tuberculosis diagnosis and potentially outbreak analysis.",2025-05-16T21:15:18.523391+00:00
github_631033908,edav-customerdemo-v2,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.548468+00:00
github_801114754,npcrcss-data-reader,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.570008+00:00
github_782693560,ext_azure_scripts,exemptNonCode,Non-code repository (languages: [PowerShell]),2025-05-16T21:15:18.595509+00:00
github_970798217,ocio-product-catalog,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.632756+00:00
github_967037038,dynode-web,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.648049+00:00
github_940116956,cfa-cmei-gcm-mvp-experiments,exemptByMissionSystem,"AI Suggestion: The repository contains code experimenting with a minimal viable product (MVP) to examine the impacts of Non-Pharmaceutical Interventions (NPIs) policies, suggesting analysis relevant to public health and potentially outbreak response.",2025-05-16T21:15:18.673429+00:00
github_843017575,cdc-edso-iac,exemptByAgencySystem,"AI Suggestion: The repository manages infrastructure as code (IaC) for CDC's EDSO, referencing internal systems like a dev storage account (`edsostoragedevacct`) and resource group (`ocio-edso-dev-moderate-rg`), suggesting an internal-only CDC system.",2025-05-16T21:15:18.693282+00:00
github_475001433,cdc-coe-github-template,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.715348+00:00
github_691655569,nccdphp-od-rapid-user-backend,exemptByMissionSystem,"AI Suggestion: The repository supports AI-assisted research on a document-based platform, suggesting its use in public health research and potentially outbreak analysis, which is critical to the CDC's mission.  The mention of AI assistance further implies advanced analytical capabilities relevant to public health.",2025-05-16T21:15:18.739342+00:00
github_971591341,nccdphp-dhdsp-million-hearts-hypertension-web-mhh-challenge,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.763905+00:00
github_823748716,cdc-edso-devlake,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:18.783805+00:00
github_921896752,oamd-bio-tb-main-surveillance,exemptByMissionSystem,"AI Suggestion: The repository name and description clearly indicate a surveillance workflow for tuberculosis, a critical public health concern.  This suggests the repository contains logic directly supporting a public health mission.",2025-05-16T21:15:18.809454+00:00
github_763648207,engineer-onboarding-guide,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.832887+00:00
github_489971327,cdc-coe-liquibase-healthiq,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.850609+00:00
github_473641202,arbonet-xlr,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.871481+00:00
github_772550189,francis,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.889986+00:00
github_852952521,edav-nccdphp-pdsb-web,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.925065+00:00
github_472413371,hl7-validator-api,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.949225+00:00
github_578216731,ocio-ecpaas-config,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:18.970189+00:00
github_376134731,ncipc-wisqars-sas-mvpiccs,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:18.995749+00:00
github_549944112,edav-rack,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.016939+00:00
github_764880714,cfa-epimodel,exemptByMissionSystem,"AI Suggestion: The repository description indicates extensions for transmission modeling across dynamic networks, suggesting functionality relevant to infectious disease analysis and potentially outbreak modeling, a core public health mission.",2025-05-16T21:15:19.039088+00:00
github_741513538,eams_paper_2024,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.057495+00:00
github_449398536,malaria_health_facility_survey,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.093307+00:00
github_962170663,core-data-access,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.112786+00:00
