PrivateID,RepositoryName,RepositoryURL,Organization,ContactEmails,DateAdded
github_616521565,cdh-featurization,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,,2025-05-23T05:13:30.526665+00:00
github_626981909,cdh-mlops,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,,2025-05-23T05:13:30.439791+00:00
github_526621828,data-exchange-infra,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,,2025-05-23T05:13:30.625936+00:00
github_635939469,Edav-NHSN-Factory,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,,2025-05-23T05:13:30.608301+00:00
github_600924284,editor.js,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,cdcent,team@codex.so,2025-05-23T05:13:30.733026+00:00
github_487861146,emmanuel-ops-repo,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,cdcent,,2025-05-23T05:13:30.459538+00:00
github_213692182,enterprise_practices,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,github@cdc.gov;osr9@cdc.gov,2025-05-23T05:13:30.587424+00:00
github_486207610,EPHTracking_Internal,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,,2025-05-23T05:13:30.461814+00:00
github_489033672,ITF-SAVI-DUB-PPT,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,nvj5@cdc.gov;oet5@cdc.gov;qqx9@cdc.gov,2025-05-23T05:13:30.421447+00:00
github_263986199,JScript,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,cdcent,cvp3@cdc.gov;evp9@cdc.gov,2025-05-23T05:13:30.560719+00:00
github_476383998,NEDSSDB,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,cdcent,,2025-05-23T05:13:30.734215+00:00
github_476383806,NEDSSDev,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,cdcent,,2025-05-23T05:13:30.562865+00:00
github_383192810,snapshot-service,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,cdcent,,2025-05-23T05:13:30.647728+00:00
github_618439187,SUDORS-Dashboard,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,cdcent,,2025-05-23T05:13:30.419951+00:00
github_268515353,TemplatePackage,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,cdcent,buq3@cdc.gov;git@github.com;rvy7@cdc.gov,2025-05-23T05:13:30.460747+00:00
github_637839229,cfa-forecast-renewal-ww,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,Center for Forecasting and Outbreak Analytics,,2025-05-23T05:13:30.504835+00:00
github_578696204,cfa-predict-sandbox,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,Center for Forecasting and Outbreak Analytics,uep6@cdc.gov;ulp7@cdc.gov,2025-05-23T05:13:30.715901+00:00
github_581254949,cfa-recipes,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,Center for Forecasting and Outbreak Analytics,,2025-05-23T05:13:30.691169+00:00
github_530713686,cdc-coe-send-email,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,Centers for Disease Control and Prevention,devsecops@cdc.gov;tpz7@cdc.gov,2025-05-23T05:13:30.567532+00:00
github_476845654,NCHS-Socrata-Metadata-Updates,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,National Center for Health Statistics,hku4@cdc.gov;pev9@cdc.gov;qrd5@cdc.gov,2025-05-23T05:13:30.689663+00:00
github_549762618,NCHHSTP-IO-Server-SSL,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",fya1@cdc.gov;git@github.com;mcm8@cdc.gov;nchhstp-certs@cdc.gov;shw3@cdc.gov;tks4@cdc.gov;user1@cdc.gov;user2@cdc.gov;user3@cdc.gov;user4@cdc.gov;wdc0@cdc.gov,2025-05-23T05:13:30.669790+00:00
github_400185205,NCIPC-WISQARS-Monorepo-Front-End,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,National Center for Injury Prevention and Control,,2025-05-23T05:13:30.565172+00:00
github_650166497,ocio-akamai-infra,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,Office of the Chief Information Officer,,2025-05-23T05:13:30.735404+00:00
github_467532199,ocio-atlantis,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,Office of the Chief Information Officer,,2025-05-23T05:13:30.486473+00:00
github_475008484,ocio-containers,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,Office of the Chief Information Officer,,2025-05-23T05:13:30.410485+00:00
github_627984726,ocio-docs,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,Office of the Chief Information Officer,,2025-05-23T05:13:30.717478+00:00
github_651203934,ocio-github-infra,https://cdcgov.github.io/ShareIT-Act/assets/files/code_exempted.pdf,Office of the Chief Information Officer,anweiss@github.com;ashleighcole@microsoft.com;chrisdrahozal@github.com;cws3@cdc.gov;osr9@cdc.gov;pjz6@cdc.gov;tpz7@cdc.gov,2025-05-23T05:13:30.736576+00:00
github_624542471,ocio-renovate-bot,https://cdcgov.github.io/ShareIT-Act/assets/files/instructions.pdf,Office of the Chief Information Officer,,2025-05-23T05:13:30.586193+00:00
